"" "ensembl_gene_id" "entrezgene_id"
"195" "ENSG00000166801" 63901
"196" "ENSG00000235014" NA
"197" "ENSG00000258787" NA
"198" "ENSG00000173153" 2101
"199" "ENSG00000094755" 2568
"200" "ENSG00000225876" NA
"201" "ENSG00000287559" NA
"202" "ENSG00000260634" NA
"203" "ENSG00000260163" NA
"204" "ENSG00000236474" NA
"205" "ENSG00000286971" NA
"206" "ENSG00000248464" NA
"207" "ENSG00000270392" NA
"208" "ENSG00000072364" 27125
"209" "ENSG00000270231" 728841
"210" "ENSG00000235045" NA
"211" "ENSG00000089091" 55184
"212" "ENSG00000235569" 4439
"213" "ENSG00000275416" 3812
"214" "ENSG00000279900" NA
"215" "ENSG00000255198" NA
"216" "ENSG00000255010" NA
"217" "ENSG00000260176" NA
"218" "ENSG00000225037" NA
"219" "ENSG00000250768" NA
"220" "ENSG00000282484" NA
"221" "ENSG00000173674" 1964
"222" "ENSG00000251430" NA
"223" "ENSG00000279968" 100507462
"224" "ENSG00000227794" 6222
"225" "ENSG00000115904" 6654
"226" "ENSG00000251385" NA
"227" "ENSG00000133101" 8900
"228" "ENSG00000260083" NA
"229" "ENSG00000152454" 10172
"230" "ENSG00000233917" 100996331
"231" "ENSG00000287268" NA
"232" "ENSG00000145919" 91272
"233" "ENSG00000281417" NA
"234" "ENSG00000053328" 728464
"235" "ENSG00000280821" NA
"236" "ENSG00000101842" 340547
"237" "ENSG00000280750" NA
"238" "ENSG00000215326" NA
"239" "ENSG00000230975" NA
"240" "ENSG00000234095" NA
"241" "ENSG00000273194" NA
"242" "ENSG00000236014" 6293
"243" "ENSG00000243234" NA
"244" "ENSG00000136161" 1102
"245" "ENSG00000226589" 7407
"246" "ENSG00000236422" NA
"247" "ENSG00000136108" 26586
"248" "ENSG00000280613" NA
"249" "ENSG00000279606" NA
"250" "ENSG00000231659" NA
"251" "ENSG00000153930" 162282
"252" "ENSG00000168438" 51362
"253" "ENSG00000182585" 255324
"254" "ENSG00000275029" NA
"255" "ENSG00000229187" NA
"256" "ENSG00000164690" 6469
"257" "ENSG00000274308" NA
"258" "ENSG00000090263" 51650
"259" "ENSG00000276810" NA
"260" "ENSG00000233700" NA
"261" "ENSG00000184789" NA
"262" "ENSG00000276054" NA
"263" "ENSG00000236614" NA
"264" "ENSG00000282263" NA
"265" "ENSG00000158290" 8450
"266" "ENSG00000227754" NA
"267" "ENSG00000278505" 284099
"268" "ENSG00000234411" NA
"269" "ENSG00000141994" 56931
"270" "ENSG00000053747" 3909
"271" "ENSG00000179580" 146310
"272" "ENSG00000272532" 1565
"273" "ENSG00000272532" 107987478
"274" "ENSG00000272532" 107987479
"275" "ENSG00000135253" 375616
"276" "ENSG00000173113" 51504
"277" "ENSG00000282372" NA
"278" "ENSG00000224400" NA
"279" "ENSG00000244502" NA
"280" "ENSG00000281936" NA
"281" "ENSG00000163517" 79885
"282" "ENSG00000103126" 8312
"283" "ENSG00000106443" 9678
"284" "ENSG00000204876" 389602
"285" "ENSG00000282534" NA
"286" "ENSG00000278540" 31
"287" "ENSG00000270584" NA
"288" "ENSG00000106004" 3202
"289" "ENSG00000258532" NA
"290" "ENSG00000225794" NA
"291" "ENSG00000261882" NA
"292" "ENSG00000178199" 340152
"293" "ENSG00000109133" 55161
"294" "ENSG00000217026" NA
"295" "ENSG00000233300" NA
"296" "ENSG00000224391" NA
"297" "ENSG00000249893" NA
"298" "ENSG00000250169" NA
"299" "ENSG00000236332" NA
"300" "ENSG00000235444" NA
"301" "ENSG00000254369" NA
"302" "ENSG00000248259" NA
"303" "ENSG00000249045" NA
"304" "ENSG00000250977" NA
"305" "ENSG00000237633" NA
"306" "ENSG00000248328" NA
"307" "ENSG00000231236" NA
"308" "ENSG00000244669" NA
"309" "ENSG00000282294" NA
"310" "ENSG00000279663" NA
"311" "ENSG00000282312" NA
"312" "ENSG00000286664" NA
"313" "ENSG00000282188" NA
"314" "ENSG00000197872" 81553
"315" "ENSG00000229126" NA
"316" "ENSG00000254965" NA
"317" "ENSG00000282593" NA
"318" "ENSG00000287146" NA
"319" "ENSG00000255051" NA
"320" "ENSG00000273397" 4700
"321" "ENSG00000101473" 10005
"322" "ENSG00000197576" 3201
"323" "ENSG00000223704" NA
"324" "ENSG00000281923" NA
"325" "ENSG00000282383" NA
"326" "ENSG00000254831" NA
"327" "ENSG00000231369" NA
"328" "ENSG00000183389" 120793
"329" "ENSG00000235271" NA
"330" "ENSG00000115085" 7535
"331" "ENSG00000253348" NA
"332" "ENSG00000271638" NA
"333" "ENSG00000272801" NA
"334" "ENSG00000260565" NA
"335" "ENSG00000230153" NA
"336" "ENSG00000258388" NA
"337" "ENSG00000122592" 3204
"338" "ENSG00000275486" 3811
"339" "ENSG00000101850" 4935
"340" "ENSG00000205403" 3426
"341" "ENSG00000276294" NA
"342" "ENSG00000276340" 9831
"343" "ENSG00000274469" NA
"344" "ENSG00000249203" NA
"345" "ENSG00000225900" NA
"346" "ENSG00000162601" 114803
"347" "ENSG00000229692" NA
"348" "ENSG00000228234" NA
"349" "ENSG00000067596" 1659
"350" "ENSG00000183617" 116541
"351" "ENSG00000250418" NA
